INLINE HolyBloodTable,Name ID,Desc ID,HP Growth Modifier,Strength Growth Modifier,Skill Growth Modifier,Speed Growth Modifier,Defense Growth Modifier,Resistance Growth Modifier,Luck Growth Modifier,Magic Growth Modifier,Blood ID,Can Dragon Vein,##UNKNOWN##,Exclusive Weapons List Pointer
Donate Blood,QuilavaName,QuilavaName,5,10,15,20,25,30,35,40,0,1,0xffff,0
Seiros,BloodNameSeiros,BloodDescSeiros,0,10,10,0,0,0,0,0,1,0,0xffff,0
Cethleann,BloodNameCethleann,BloodDescCethleann,10,0,0,5,0,5,0,10,2,1,0xffff,0
Renais,BloodNameRenais,BloodDescRenais,0,5,15,5,0,0,0,5,3,0,0xffff,0
Latona,BloodNameLatona,BloodDescLatona,0,0,0,10,0,10,0,10,4,0,0xffff,0
Frelia,BloodNameFrelia,BloodDescFrelia,10,0,0,10,15,15,0,0,5,0,0xffff,0
Hezul,BloodNameHezul,BloodDescHezul,20,30,0,0,0,0,0,0,6,0,0xffff,0
Bragi,BloodNameBragi,BloodDescBragi,10,0,0,0,0,20,10,10,7,1,0xffff,0
Aubin,BloodNameAubin,BloodDescAubin,0,0,15,10,5,0,0,5,8,1,0xffff,0
Medeus,BloodNameMedeus,BloodDescMedeus,0,0,0,0,0,0,0,0,9,0,0xffff,0
Dragon,BloodNameDragon,BloodDescDragon,0,0,0,0,0,0,0,0,10,1,0xffff,0
Ninis,BloodNameNinis,BloodDescNinis,0,0,0,0,0,0,0,0,11,0,0xffff,0
0xc,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,12,255,0xffff,0xffffffff
0xd,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,13,255,0xffff,0xffffffff
0xe,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,14,255,0xffff,0xffffffff
0xf,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,15,255,0xffff,0xffffffff
0x10,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,16,255,0xffff,0xffffffff
0x11,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,17,255,0xffff,0xffffffff
0x12,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,18,255,0xffff,0xffffffff
0x13,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,19,255,0xffff,0xffffffff
0x14,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,20,255,0xffff,0xffffffff
0x15,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,21,255,0xffff,0xffffffff
0x16,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,22,255,0xffff,0xffffffff
0x17,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,23,255,0xffff,0xffffffff
0x18,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,24,255,0xffff,0xffffffff
0x19,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,25,255,0xffff,0xffffffff
0x1a,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,26,255,0xffff,0xffffffff
0x1b,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,27,255,0xffff,0xffffffff
0x1c,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,28,255,0xffff,0xffffffff
0x1d,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,29,255,0xffff,0xffffffff
0x1e,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,30,255,0xffff,0xffffffff
0x1f,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,31,255,0xffff,0xffffffff
0x20,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,32,255,0xffff,0xffffffff
0x21,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,33,255,0xffff,0xffffffff
0x22,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,34,255,0xffff,0xffffffff
0x23,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,35,255,0xffff,0xffffffff
0x24,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,36,255,0xffff,0xffffffff
0x25,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,37,255,0xffff,0xffffffff
0x26,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,38,255,0xffff,0xffffffff
0x27,QuilavaName,QuilavaName,255,255,255,255,255,255,255,255,39,255,0xffff,0xffffffff
